126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple
126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple
126377656416612353,Great up close & personal event @Apple tonight in Regent St store!,positive,apple
126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple
126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple
126360935509135362,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple
126358340220616704,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
126357982685569024,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ,positive,apple
126352268705538048,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”",positive,apple
126342268603998208,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,apple
126325800080392193,@DailyDealChat @apple Thanks!!,positive,apple
126324177501302784,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,positive,apple
126322063332999169,@apple @siri is efffing amazing!!,positive,apple
126318009647235072,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
